DISEASE|MEAL_TYPE|MEAL_NAME|INGREDIENTS|FOOD_TYPE|CUISINE
Diabetes|Breakfast|Daliya Porridge|daliya,water,milk,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Besan Chilla|besan,onion,tomato,green chili,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Boiled Egg with Brown Toast|egg,brown bread,salt,pepper|Non-Vegetarian|Pakistani
Diabetes|Breakfast|Methi Paratha|whole wheat flour,methi,oil,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Greek Yogurt with Seeds|yogurt,flaxseeds,chia seeds|Vegetarian|Pakistani
Diabetes|Breakfast|Saag with Makki Roti|saag,makki flour,butter,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Anda Bhurji|eggs,onion,tomato,green chili,oil|Non-Vegetarian|Pakistani
Diabetes|Breakfast|Oatmeal with Nuts|oats,almonds,walnuts,milk|Vegetarian|Pakistani
Diabetes|Breakfast|Karela Juice with Toast|karela,water,brown bread|Vegetarian|Pakistani
Diabetes|Breakfast|Moong Dal Cheela|moong dal,onion,green chili,salt|Vegan|Pakistani
Diabetes|Breakfast|Lauki Paratha|lauki,whole wheat flour,oil,salt|Vegan|Pakistani
Diabetes|Breakfast|Paneer Bhurji|paneer,onion,tomato,spices|Vegetarian|Pakistani
Diabetes|Breakfast|Dahi with Flaxseeds|yogurt,flaxseeds,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Spinach Omelette|egg,spinach,onion,salt,oil|Non-Vegetarian|Pakistani
Diabetes|Breakfast|Whole Wheat Roti with Dahi|wheat roti,yogurt,salt|Vegetarian|Pakistani
Diabetes|Breakfast|Chicken Yakhni Soup|chicken,ginger,garlic,salt,water|Non-Vegetarian|Pakistani
Diabetes|Breakfast|Stuffed Shimla Mirch|capsicum,paneer,spices|Vegetarian|Pakistani
Diabetes|Breakfast|Sprout Salad|moong sprouts,tomato,cucumber,lemon|Vegan|Pakistani
Diabetes|Breakfast|Brown Rice Khichdi|brown rice,moong dal,turmeric|Vegan|Pakistani
Diabetes|Breakfast|Turai Sabzi with Roti|turai,onion,tomato,wheat roti|Vegan|Pakistani
Diabetes|Breakfast|Namkeen Lassi|yogurt,water,salt,cumin|Vegetarian|Pakistani
Diabetes|Breakfast|Chickpea Salad|chickpeas,onion,tomato,lemon,spices|Vegan|Pakistani
Diabetes|Breakfast|Palak Roti|spinach,wheat flour,oil,salt|Vegan|Pakistani
Diabetes|Breakfast|Egg White Omelette|egg white,capsicum,onion,salt|Non-Vegetarian|Pakistani
Diabetes|Breakfast|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Diabetes|Breakfast|Mixed Veg Upma|semolina,vegetables,mustard seeds|Vegetarian|Pakistani
Diabetes|Breakfast|Kali Mirch Chai|green tea,black pepper,ginger|Vegan|Pakistani
Diabetes|Breakfast|Almond Milk Smoothie|almond milk,banana,chia seeds|Vegan|Pakistani
Diabetes|Breakfast|Bran Muffin|wheat bran,egg,milk,honey|Vegetarian|Pakistani
Diabetes|Breakfast|Stuffed Karela|karela,onion,spices,oil|Vegan|Pakistani
Diabetes|Lunch|Masoor Dal with Brown Rice|masoor dal,brown rice,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Grilled Chicken Salad|chicken,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
Diabetes|Lunch|Karela Gosht|karela,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Moong Dal Tadka|moong dal,garlic,cumin,tomato|Vegan|Pakistani
Diabetes|Lunch|Tinda Sabzi with Roti|tinda,onion,tomato,wheat roti|Vegan|Pakistani
Diabetes|Lunch|Chicken Yakhni|chicken,ginger,garlic,spices,water|Non-Vegetarian|Pakistani
Diabetes|Lunch|Palak Gosht|spinach,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Lauki Dal|lauki,moong dal,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Methi Gosht|methi,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Brown Rice Pulao|brown rice,vegetables,cumin,oil|Vegan|Pakistani
Diabetes|Lunch|Fish Curry|fish,tomato,onion,spices,oil|Non-Vegetarian|Pakistani
Diabetes|Lunch|Chana Dal|chana dal,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Stuffed Tinda|tinda,onion,spices,oil|Vegan|Pakistani
Diabetes|Lunch|Chicken Shorba|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Baingan Bharta|baingan,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Daal Mash|urad dal,onion,garlic,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Grilled Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Arvi Gosht|arvi,mutton,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Saag Gosht|saag,mutton,onion,garlic,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Mixed Vegetable Curry|mixed vegetables,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Keema Karela|keema,karela,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Turai Gosht|turai,mutton,onion,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Chickpea Curry|chickpeas,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Sindhi Kadhi|vegetables,chickpea flour,tamarind,spices|Vegan|Pakistani
Diabetes|Lunch|Lobia Curry|black eyed peas,tomato,onion,spices|Vegan|Pakistani
Diabetes|Lunch|Raita with Roti|yogurt,cucumber,cumin,wheat roti|Vegetarian|Pakistani
Diabetes|Lunch|Bhindi Gosht|bhindi,mutton,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Egg Curry|eggs,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Lunch|Aloo Palak|potato,spinach,onion,tomato,spices|Vegan|Pakistani
Diabetes|Lunch|Whole Wheat Chapati with Dal|wheat chapati,dal,spices|Vegan|Pakistani
Diabetes|Dinner|Grilled Chicken with Salad|chicken,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
Diabetes|Dinner|Palak Paneer|spinach,paneer,onion,tomato,spices|Vegetarian|Pakistani
Diabetes|Dinner|Fish Tikka|fish,yogurt,spices,lemon|Non-Vegetarian|Pakistani
Diabetes|Dinner|Moong Dal Khichdi|moong dal,rice,turmeric,salt|Vegan|Pakistani
Diabetes|Dinner|Karela Sabzi|karela,onion,tomato,spices|Vegan|Pakistani
Diabetes|Dinner|Chicken Saag|chicken,spinach,onion,tomato,spices|Non-Vegetarian|Pakistani
Diabetes|Dinner|Mutton Yakhni|mutton,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Diabetes|Dinner|Lauki Kofta|lauki,besan,spices,oil|Vegetarian|Pakistani
Diabetes|Dinner|Masoor Soup|masoor dal,tomato,garlic,spices|Vegan|Pakistani
Diabetes|Dinner|Egg Bhurji with Roti|eggs,onion,tomato,wheat roti|Non-Vegetarian|Pakistani
Diabetes|Dinner|Baingan Gosht|baingan,mutton,onion,spices|Non-Vegetarian|Pakistani
Diabetes|Dinner|Turai Sabzi|turai,onion,tomato,spices|Vegan|Pakistani
Diabetes|Dinner|Chicken Shorba|chicken,ginger,garlic,water,spices|Non-Vegetarian|Pakistani
Diabetes|Dinner|Chana Dal with Roti|chana dal,wheat roti,spices|Vegan|Pakistani
Diabetes|Dinner|Stuffed Capsicum|capsicum,paneer,onion,spices|Vegetarian|Pakistani
Diabetes|Dinner|Steamed Fish|fish,lemon,garlic,spices|Non-Vegetarian|Pakistani
Diabetes|Dinner|Bhindi Sabzi|bhindi,onion,tomato,spices|Vegan|Pakistani
Diabetes|Dinner|Methi Matar|methi,peas,onion,tomato,spices|Vegan|Pakistani
Diabetes|Dinner|Chicken Tikka|chicken,yogurt,spices,lemon|Non-Vegetarian|Pakistani
Diabetes|Dinner|Daal Mash with Roti|urad dal,wheat roti,spices|Vegan|Pakistani
Diabetes|Dinner|Aloo Methi|potato,methi,onion,spices|Vegan|Pakistani
Diabetes|Dinner|Grilled Mutton Chops|mutton,spices,lemon,garlic|Non-Vegetarian|Pakistani
Diabetes|Dinner|Saag with Makki Roti|saag,makki roti,butter|Vegetarian|Pakistani
Diabetes|Dinner|Arvi Sabzi|arvi,onion,tomato,spices|Vegan|Pakistani
Diabetes|Dinner|Chicken Soup|chicken,vegetables,ginger,salt|Non-Vegetarian|Pakistani
Diabetes|Dinner|Lentil Soup|mixed lentils,garlic,cumin,tomato|Vegan|Pakistani
Diabetes|Dinner|Egg Salad|eggs,cucumber,tomato,lettuce,lemon|Non-Vegetarian|Pakistani
Diabetes|Dinner|Shimla Mirch Gosht|capsicum,mutton,spices|Non-Vegetarian|Pakistani
Diabetes|Snacks|Roasted Chana|chana,salt,cumin|Vegan|Pakistani
Diabetes|Snacks|Cucumber Slices with Yogurt|cucumber,yogurt,salt,cumin|Vegetarian|Pakistani
Diabetes|Snacks|Walnuts and Almonds|walnuts,almonds|Vegan|Pakistani
Diabetes|Snacks|Karela Chips|karela,salt,oil|Vegan|Pakistani
Diabetes|Snacks|Besan Soup|besan,water,cumin,salt|Vegan|Pakistani
Diabetes|Snacks|Sprout Chaat|moong sprouts,tomato,onion,lemon|Vegan|Pakistani
Diabetes|Snacks|Yogurt with Flaxseeds|yogurt,flaxseeds,salt|Vegetarian|Pakistani
Diabetes|Snacks|Boiled Egg|egg,salt,pepper|Non-Vegetarian|Pakistani
Diabetes|Snacks|Roasted Pumpkin Seeds|pumpkin seeds,salt|Vegan|Pakistani
Diabetes|Snacks|Green Tea with Ginger|green tea,ginger,lemon|Vegan|Pakistani
Diabetes|Snacks|Palak Soup|spinach,garlic,water,salt|Vegan|Pakistani
Diabetes|Snacks|Methi Seeds Water|methi seeds,water|Vegan|Pakistani
Diabetes|Snacks|Peanut Butter on Brown Toast|peanut butter,brown bread|Vegan|Pakistani
Diabetes|Snacks|Lauki Juice|lauki,water,lemon|Vegan|Pakistani
Diabetes|Snacks|Chickpea Chaat|chickpeas,onion,tomato,chaat masala|Vegan|Pakistani
Diabetes|Snacks|Namkeen Lassi|yogurt,water,salt,cumin|Vegetarian|Pakistani
Diabetes|Snacks|Roasted Makhana|makhana,salt,ghee|Vegan|Pakistani
Diabetes|Snacks|Almond Smoothie|almonds,milk,no sugar|Vegetarian|Pakistani
Diabetes|Snacks|Tomato Soup|tomato,garlic,onion,salt|Vegan|Pakistani
Diabetes|Snacks|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Diabetes|Snacks|Chia Seed Water|chia seeds,water,lemon|Vegan|Pakistani
Diabetes|Snacks|Mixed Nuts|almonds,walnuts,pistachios|Vegan|Pakistani
Diabetes|Snacks|Dahi with Cucumber|yogurt,cucumber,salt,mint|Vegetarian|Pakistani
Diabetes|Snacks|Bran Crackers|wheat bran crackers,salt|Vegan|Pakistani
Diabetes|Snacks|Jamun Juice|jamun,water|Vegan|Pakistani
Diabetes|Snacks|Ajwain Water|ajwain,water|Vegan|Pakistani
Diabetes|Snacks|Steamed Moong Dal|moong dal,salt,lemon|Vegan|Pakistani
Diabetes|Snacks|Celery with Peanut Butter|celery,peanut butter|Vegan|Pakistani
Diabetes|Snacks|Apple Slices with Cinnamon|apple,cinnamon|Vegan|Pakistani
Diabetes|Snacks|Coconut Water|coconut water|Vegan|Pakistani
Thyroid|Breakfast|Selenium Rich Egg Omelette|eggs,mushrooms,onion,salt,oil|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Brazil Nut Smoothie|brazil nuts,almond milk,banana|Vegan|Pakistani
Thyroid|Breakfast|Daliya with Nuts|daliya,almonds,walnuts,milk|Vegetarian|Pakistani
Thyroid|Breakfast|Whole Wheat Roti with Anda|wheat roti,egg,oil,salt|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Brown Rice Khichdi|brown rice,moong dal,turmeric|Vegan|Pakistani
Thyroid|Breakfast|Pumpkin Seed Smoothie|pumpkin seeds,milk,banana|Vegetarian|Pakistani
Thyroid|Breakfast|Methi Paratha with Dahi|methi,wheat flour,yogurt,salt|Vegetarian|Pakistani
Thyroid|Breakfast|Besan Chilla with Chutney|besan,onion,tomato,coriander chutney|Vegetarian|Pakistani
Thyroid|Breakfast|Spinach Omelette|egg,spinach,garlic,salt|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Oats with Almonds|oats,almonds,milk,honey|Vegetarian|Pakistani
Thyroid|Breakfast|Dahi with Seeds|yogurt,sunflower seeds,flaxseeds|Vegetarian|Pakistani
Thyroid|Breakfast|Chicken Broth|chicken,ginger,garlic,salt,water|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Moong Dal Cheela|moong dal,onion,coriander,salt|Vegan|Pakistani
Thyroid|Breakfast|Mixed Nut Porridge|oats,cashews,almonds,raisins,milk|Vegetarian|Pakistani
Thyroid|Breakfast|Avocado Toast|brown bread,avocado,salt,lemon|Vegan|Pakistani
Thyroid|Breakfast|Egg Bhurji|eggs,onion,tomato,spices|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Carrot Halwa (low sugar)|carrot,milk,sugar-free sweetener,ghee|Vegetarian|Pakistani
Thyroid|Breakfast|Lauki Juice with Ginger|lauki,ginger,water,lemon|Vegan|Pakistani
Thyroid|Breakfast|Whole Grain Toast with Peanut Butter|brown bread,peanut butter|Vegan|Pakistani
Thyroid|Breakfast|Palak Paratha|spinach,wheat flour,oil,salt|Vegan|Pakistani
Thyroid|Breakfast|Sattu Drink|sattu,water,lemon,salt|Vegan|Pakistani
Thyroid|Breakfast|Coconut Chutney Roti|wheat roti,coconut chutney|Vegan|Pakistani
Thyroid|Breakfast|Turkey Sandwich|brown bread,turkey,lettuce,tomato|Non-Vegetarian|Pakistani
Thyroid|Breakfast|Namkeen Porridge|daliya,salt,cumin,vegetables|Vegan|Pakistani
Thyroid|Breakfast|Mango Lassi (no sugar)|mango,yogurt,water|Vegetarian|Pakistani
Thyroid|Breakfast|Sprouted Moong Chaat|moong sprouts,tomato,cumin,lemon|Vegan|Pakistani
Thyroid|Breakfast|Chia Pudding|chia seeds,almond milk,honey|Vegan|Pakistani
